iter	RMSE
531	16441.10598
532	16435.20069
533	16426.84107
534	16414.99107
535	16408.2352
536	16399.44412
537	16394.17522
538	16387.44581
539	16385.43956
540	16368.76827
541	16355.38792
542	16353.46161
543	16342.57915
544	16340.70762
545	16329.51138
546	16322.37452
547	16308.1185
548	16300.71768
549	16289.14718
550	16283.45642
551	16271.97976
552	16263.30545
553	16248.80737
554	16242.31484
555	16239.52956
556	16236.74084
557	16225.19338
558	16214.45782
559	16206.76002
560	16198.73164
561	16186.2674
562	16174.05811
563	16162.43895
564	16155.40023
565	16141.38168
566	16138.52233
567	16133.93091
568	16129.50654
569	16124.47473
570	16119.74581
571	16105.75534
572	16101.22978
573	16087.63425
574	16080.02023
575	16073.75272
576	16061.85335
577	16051.27554
578	16033.10192
579	16022.04667
580	16015.22561
581	16006.6694
582	15990.95965
583	15985.51944
584	15974.63471
585	15965.12552
586	15958.74948
587	15953.01541
588	15949.15849
589	15942.19387
590	15937.41406
591	15924.87962
592	15915.98591
593	15907.79178
594	15900.91758
595	15892.0168
596	15885.27312
597	15873.64823
598	15864.56924
599	15851.2856
600	15841.74397
601	15829.83181
602	15822.91839
603	15815.43824
604	15809.44879
605	15803.25066
606	15792.84861
607	15782.59615
608	15773.05357
609	15758.50069
610	15749.86403
611	15739.70029
612	15730.89351
613	15719.04932
614	15711.97558
615	15705.79881
616	15697.50007
617	15686.6736
618	15681.14129
619	15673.91817
620	15668.95701
621	15660.3059
622	15645.71728
623	15635.96089
624	15623.08174
625	15610.11224
626	15604.84971
627	15598.29677
628	15590.65469
629	15580.79542
630	15577.59439
631	15572.21089
632	15563.01882
633	15546.58961
634	15534.71303
635	15525.10231
636	15522.72409
637	15518.14365
638	15508.55323
639	15500.49739
640	15496.72758
641	15482.78476
642	15473.1044
643	15459.71522
644	15452.57519
645	15444.77696
646	15437.5548
647	15431.81218
648	15424.23187
649	15415.74389
650	15413.52549
651	15407.29396
652	15402.32473
653	15396.00659
654	15389.79673
655	15380.82939
656	15372.98755
657	15360.30921
658	15349.35537
659	15339.19275
660	15330.41035
661	15326.84295
662	15322.09073
663	15315.48613
664	15307.22813
665	15302.10023
666	15296.49924
667	15288.48315
668	15280.88178
669	15276.82153
670	15266.72996
671	15258.62839
672	15248.50993
673	15239.75392
674	15227.72849
675	15220.47936
676	15212.05986
677	15202.78422
678	15194.89057
679	15185.57969
680	15180.51199
681	15171.34942
682	15160.01705
683	15152.87301
684	15148.07081
685	15137.43095
686	15131.70455
687	15119.63907
688	15114.39587
689	15106.04734
690	15100.65833
691	15086.58516
692	15078.6958
693	15073.93638
694	15070.36663
695	15064.19814
696	15057.33127
697	15053.25299
698	15048.55117
699	15045.11317
700	15038.93913
701	15029.47295
702	15023.80868
703	15017.31235
704	15010.66065
705	14998.45418
706	14990.80417
707	14983.96546
708	14979.51438
709	14975.2741
710	14967.42514
711	14962.26696
712	14957.91333
713	14949.22736
714	14944.96301
715	14935.19403
716	14925.71409
717	14919.49648
718	14912.01412
719	14904.96643
720	14899.57052
721	14893.25066
722	14888.23643
723	14885.48512
724	14879.05483
725	14874.11012
726	14863.88858
727	14859.47345
728	14852.61622
729	14851.0133
730	14843.57488
731	14838.70926
732	14835.76452
733	14829.26475
734	14820.93853
735	14814.94985
736	14807.92138
737	14802.15077
738	14795.39869
739	14788.91457
740	14784.62246
741	14774.18367
742	14770.8805
743	14759.90072
744	14756.86626
745	14751.89183
746	14747.12633
747	14740.09745
748	14732.74268
749	14727.7382
750	14721.1857
751	14710.6681
752	14704.97331
753	14700.19275
754	14695.58939
755	14692.38436
756	14687.50024
757	14682.78938
758	14675.39591
759	14670.9355
760	14663.57474
761	14652.23418
762	14646.83129
763	14637.74249
764	14633.33431
765	14629.55533
766	14623.96167
767	14613.01722
768	14609.3641
769	14600.44767
770	14591.10354
771	14581.42542
772	14573.13198
773	14565.7067
774	14555.46056
775	14551.13071
776	14544.14899
777	14542.25304
778	14538.60607
779	14528.44921
780	14523.25588
781	14518.39507
782	14511.04927
783	14498.15382
784	14493.83655
785	14487.0446
786	14482.48413
787	14477.13688
788	14472.17993
789	14467.51494
790	14462.28128
791	14457.76311
792	14451.93561
793	14445.12242
794	14443.3508
795	14428.33925
796	14419.3265
797	14410.58399
798	14405.45386
799	14399.03667
800	14394.7101
801	14386.74699
802	14380.54917
803	14376.18935
804	14367.53901
805	14363.09233
806	14354.83893
807	14348.71213
808	14344.62404
809	14341.81912
810	14339.19518
811	14331.19949
812	14322.96742
813	14312.67053
814	14307.25959
815	14301.2237
816	14294.53287
817	14292.28864
818	14284.93794
819	14275.24323
820	14267.36629
821	14265.79125
822	14257.61515
823	14254.87747
824	14251.69699
825	14242.46215
826	14238.56652
827	14234.15426
828	14231.66289
829	14227.95357
830	14221.39381
831	14213.90187
832	14211.25764
833	14205.12488
834	14196.57688
835	14192.55441
836	14186.82896
837	14180.19734
838	14175.21268
839	14173.15574
840	14169.24649
841	14164.21202
842	14154.72903
843	14150.04933
844	14146.028
845	14141.74106
846	14134.54911
847	14126.78623
848	14118.10328
849	14113.91727
850	14106.66091
851	14099.34151
852	14091.01669
853	14086.27706
854	14077.22217
855	14072.33199
856	14065.70309
857	14059.22768
858	14055.38046
859	14051.96355
860	14047.71268
861	14038.28529
862	14030.78608
863	14026.06894
864	14020.85873
865	14013.00679
866	14010.4967
867	14006.78656
868	14001.97098
869	13995.53249
870	13992.54712
871	13984.15434
872	13973.04623
873	13964.45586
874	13957.86024
875	13951.11632
876	13947.69714
877	13945.06969
878	13934.96319
879	13928.0771
880	13923.66537
881	13922.07013
882	13908.08469
883	13903.98069
884	13900.24798
885	13897.5878
886	13893.68702
887	13888.69459
888	13881.45674
889	13875.7374
890	13870.80608
891	13866.17522
892	13862.12687
893	13857.4758
894	13853.0401
895	13845.45006
896	13843.20161
897	13839.67424
898	13834.1049
899	13826.66829
900	13820.65437
901	13816.2979
902	13807.86179
903	13805.51885
904	13798.2073
905	13792.62446
906	13786.13176
907	13783.73403
908	13776.45453
909	13773.20014
910	13768.4723
911	13763.70412
912	13757.87954
913	13750.19567
914	13747.07985
915	13740.60906
916	13737.49468
917	13732.32143
918	13724.54055
919	13716.27056
920	13707.21674
921	13698.72461
922	13691.23081
923	13682.75288
924	13675.47891
925	13670.56017
926	13667.81757
927	13659.75788
928	13653.21481
929	13651.94612
930	13649.74732
931	13647.67172
932	13642.47504
933	13639.02145
934	13628.45389
935	13622.37199
936	13614.65905
937	13609.61021
938	13606.53809
939	13597.83738
940	13594.51855
941	13590.45134
942	13584.94498
943	13581.43561
944	13574.10313
945	13570.87403
946	13567.14537
947	13559.2192
948	13557.18555
949	13553.79589
950	13549.25124
951	13548.02235
952	13543.2184
953	13541.13105
954	13534.3237
955	13531.13852
956	13526.33647
957	13524.15909
958	13518.81572
959	13515.55865
960	13512.84262
961	13508.01202
962	13504.0225
963	13496.32341
964	13489.88722
965	13482.4976
966	13479.62905
967	13472.78929
968	13462.41762
969	13459.40092
970	13449.44454
971	13443.17622
972	13436.68742
973	13433.65567
974	13431.10214
975	13429.14827
976	13422.36844
977	13420.50526
978	13417.39291
979	13414.46421
980	13406.8117
981	13399.87158
982	13392.60974
983	13388.90981
984	13383.72593
985	13378.64529
986	13372.30505
987	13364.10757
988	13360.79832
989	13357.91998
990	13351.27807
991	13345.96369
992	13340.23317
993	13334.90248
994	13330.72536
995	13322.59159
996	13321.53046
997	13319.71956
998	13318.38858
999	13314.37781
